snapnum scale logmstar logmgas sfr_inst sfr_20Myr sfr_100Myr sfr_1Gyr logmcgm avg_Zstars avg_Zism avg_Zcgm cgm_cold_frac galaxy_size logmvir logrvir num_gas_inner num_gas_outer mdot_in_inner mdot_out_inner mdot_in_outer mdot_out_outer zdot_in_inner zdot_out_inner zdot_in_outer zdot_out_outer mdot_in_outer_dm mdot_out_outer_dm logmgas_dense logmgas_warmionized logmgas_denseSF logmgas_densez logmgas_cold cosmic_age redshift Vvir_DM halo_conc mdot_out_ism_0 mdot_out_halo_0 zdot_out_ism_0 zdot_out_halo_0 edot_out_ism_0 edot_out_halo_0 mdot_out_ism_half zdot_out_ism_half edot_out_ism_half mdot_out_halo_esc zdot_out_halo_esc edot_out_halo_esc vcirc_halo mdot_in_ism_tracked mdot_out_ism_tracked mdot_in_halo_tracked mdot_out_halo_tracked mdot_in_halo_dm_tracked zdot_in_ism_tracked zdot_out_ism_tracked zdot_in_halo_tracked zdot_out_halo_tracked edot_out_ism_tracked edot_out_halo_tracked f_fountain logmcgm_new logmism_new vcirc_ism vcirc_half TE_cgm KE_cgm edot_in_halo edot_in_halo_th edot_in_halo_kin edot_out_halo edot_out_halo_th edot_out_halo_kin edot_out_ism edot_out_ism_th edot_out_ism_kin TE_inner KE_inner
2 0.0625 -inf 4.326373309531103 0.0 0.0 0.0 0.0 6.436963007424937 nan 2.0000000348713333e-06 2.000000455671139e-06 0.12919898533318988 nan 7.508731094219045 1.0221309868911814 15.0 47.0 0.006552197254292509 0.0018410460632290006 0.040870736154887344 0.0010328987095158614 1.3104394475499603e-08 3.682092117161612e-09 8.17414721033973e-08 2.065797413816085e-09 0.2572539643265434 0.13982943108281826 -inf 4.150282070479155 -inf -inf 3.849252074815173 0.2689010660009527 15.0 14.525817698519871 2.839362859725952 0.001697005762844916 0.00014520718231397756 3.3940115171207767e-09 2.9041436389472937e-10 1.9015915336059715e+35 1.7316235387135676e+34 0.001697005762844916 3.3940115171207767e-09 1.9015915336059715e+35 0.00014520718231397756 2.9041436389472937e-10 1.7316235387135676e+34 15.143184809956978 0.004661767506677143 0.003995800720008979 0.0832458483335204 0.0019979003600044897 0.4243452256201885 9.323534989814621e-09 7.991601419841105e-09 1.6649169624668968e-07 3.9958007099205525e-09 4.643469790067096e+35 2.8859079853276834e+35 0.0 6.431315437726882 4.752342061807116 6.302501727017327 13.489612940302981 1.1993913819248502e+52 5.190239439769963e+51 1.677478379737462e+37 9.582160313836421e+36 7.192623408161998e+36 2.8858130759988374e+35 2.2968981186919048e+35 5.889149985264386e+34 2.4856405601166326e+35 2.1616705276448085e+35 3.239700242061193e+34 4.544323323039265e+50 1.0504660874508338e+50
3 0.06408 -inf 4.326373309531103 0.0 0.0 0.0 0.0 6.555969812703559 nan 2.0000000348713333e-06 2.0000004819405347e-06 0.22396855235996574 nan 7.582068221416795 1.0352187176635064 20.0 75.0 0.003907861209033673 0.0038549643751086835 0.07360778613472534 0.000364638785822719 7.815722398334544e-09 7.709928730751666e-09 1.4721557189776712e-07 7.292775698041891e-10 0.3776396099143272 0.14183689294248825 -inf 3.849252074815173 -inf -inf 4.150282070479155 0.2792000946506273 14.605493133583021 15.376023877279 2.5701446533203125 0.0034507867007056766 0.0 6.901573383986556e-09 0.0 3.742221749929812e+35 0.0 0.002993115829444127 5.9862316437744725e-09 3.3153777505813052e+35 0.0 0.0 0.0 15.585610277527962 0.009209528045647777 0.001315646863663968 0.15129938932135634 0.0 1.1428560882194945 1.841905604479191e-08 2.631293720684558e-09 3.025987778787242e-07 0.0 1.6293410739727576e+35 0.0 0.0 6.550820059871101 4.803494584254498 7.3550043391474 13.267088608093033 1.5477556906582756e+52 6.776628287377763e+51 2.968423825282463e+37 1.7417029875372243e+37 1.2267208334548825e+37 0.0 0.0 0.0 1.681004424218318e+35 1.4292035954924277e+35 2.5180087431737557e+34 5.64266043846385e+50 1.1256998052775815e+50
4 0.06566 -inf 4.8034945909224085 0.0 0.0 0.0 0.0 6.714356011550183 nan 1.9999999706125725e-06 2.000000454584281e-06 0.2783083816965215 nan 7.695450493258409 1.0765958444254065 38.0 107.0 0.01026609795752302 0.0032149753313625426 0.11809697715269832 0.00012600992982337672 2.0532195863207224e-08 6.4299506464910216e-09 2.3619395370906427e-07 2.5201985901046443e-10 0.8138972526579225 0.04187071001436832 -inf 3.849252074815173 -inf -inf 4.752342061807116 0.2896271873383908 14.229972586049346 16.50279214175132 2.443978786468506 0.002980122198315287 0.0 5.960244381582403e-09 0.0 3.391738182845519e+35 0.0 0.0026829448343358943 5.3658896551242196e-09 3.0691203683503243e+35 0.0 0.0 0.0 17.05218724814185 0.0123494933163486 0.003249866662197 0.26908895962991164 0.0 1.8151611171080766 2.4698986570338254e-08 6.499733307983751e-09 5.381779179010545e-07 0.0 3.021368933248464e+35 0.0 0.4 6.707187339534602 5.171471369549092 7.65386792163043 13.503843166653722 2.138775916454195e+52 1.0353474245617777e+52 6.185735224485355e+37 3.068915440408203e+37 3.116819809789621e+37 0.0 0.0 0.0 3.9349609773181814e+35 3.402978503806307e+35 5.319826388506921e+34 9.790510542384327e+50 1.6868892611389304e+50
5 0.06724 -inf 4.928433300859066 0.0 0.0 0.0 0.0 6.907678144175659 nan 2.0000002105774224e-06 1.999999938700357e-06 0.3216782632948937 nan 7.844803638129997 1.1266983285571277 56.0 148.0 0.011965807675890854 0.002976541615056369 0.17363207006876807 0.0 2.393161529136019e-08 5.953083215082648e-09 3.4726413926077855e-07 0.0 1.3372695932780787 0.041386129017690954 -inf 4.326373309531103 -inf -inf 4.8034945909224085 0.3001807675421396 13.872099940511601 18.281816555349224 2.5078186988830566 0.0024614747075171767 0.0 4.922949402605101e-09 0.0 2.3309495515989504e+35 0.0 0.0008726210829766644 1.7452421615470157e-09 9.600597261313752e+34 0.0 0.0 0.0 18.98446288327922 0.11637265785970777 0.004525603361210858 0.3614017541309813 0.0 2.7227363625841328 2.327453151317901e-07 9.051206699569614e-09 7.228035064370593e-07 0.0 3.853154249012642e+35 0.0 0.2857142857142857 6.898857687410146 5.393320119165448 7.870438904174319 14.92528864863899 3.133426064983994e+52 2.2851238333908878e+52 1.023307566733669e+38 4.1234784177019443e+37 6.109597191435383e+37 0.0 0.0 0.0 2.5083248753913044e+35 2.3294698363423047e+35 1.7885500580183435e+34 1.0223366089608694e+51 3.3199379465722972e+50
6 0.06881 -inf 5.910142225165009 0.0 0.0 0.0 0.0 7.051265623938948 nan 2.9597998300159526e-05 1.1058699587608685e-05 0.12563968703312636 nan 7.973623151685092 1.1805636967604498 163.0 199.0 0.19653333081158297 0.01208570096385533 0.20092869089212723 0.0 8.904687139575403e-06 1.05530026584611e-06 4.018573807696621e-07 0.0 1.0489709407439127 0.02491035858007873 5.354807299643549 5.104733881865432 -inf -inf 5.836213035120113 0.31079133809411685 13.532771399505886 19.700828615291904 2.908356189727783 0.011863339406967 0.0 1.0441760575390329e-06 0.0 2.4028963547206825e+37 0.0 0.010443748284179582 9.760654115002247e-07 2.254808769978413e+37 0.0 0.0 0.0 21.22631615955766 0.0 0.12454904152329334 0.3258224084968846 0.12073812779423022 2.1025290742035203 0.0 4.155251299215023e-06 6.516448153485242e-07 3.855684267831693e-06 8.105295768480072e+37 3.135634939809376e+38 0.0 7.025114229060787 6.167524829654778 10.0472957210715 19.685979889345674 8.459755938447826e+52 2.0434686538669265e+53 9.279692237705626e+37 3.7254426284533873e+37 5.554249636671958e+37 3.1409840366554208e+38 7.689278786913925e+37 2.3720561298265042e+38 4.111716849989486e+37 1.8527767750630903e+36 3.926439226618852e+37 3.8424651000444275e+51 1.8140812454420452e+52
7 0.07039 -inf -inf 0.0 0.0 0.0 0.0 7.142616105249804 nan nan 5.2288451897025176e-05 0.18796754064219467 nan 8.085188389318876 1.2116331195809 0.0 262.0 0.0 0.0 0.21085042910294066 0.15316550973052911 0.0 0.0 4.2170085714118897e-07 1.7813171460643667e-05 1.8469119991217757 0.003322896496450359 -inf -inf -inf -inf -inf 0.3215926032351987 13.206563432305726 21.369910174262348 4.054783344268799 0.0 0.1455630482648897 0.0 1.7501518204567548e-05 0.0 8.312925022107374e+38 0.0 0.0 0.0 0.135363481970551 1.7481119072030374e-05 8.287232371857375e+38 22.45664320981169 0.0 0.0 0.34920265738579953 0.47207114731542804 2.695049798332769 0.0 0.0 6.984053130082952e-07 3.922362584490151e-05 0.0 7.769609414551901e+38 0.0 7.142616073152321 -inf 12.365095343499705 22.497051502305844 6.593468681000103e+52 3.5658905520869754e+53 1.1314078047132423e+38 4.095026341362239e+37 7.219051637027725e+37 7.767350786859504e+38 7.608112604403439e+37 7.006539532565003e+38 0.0 0.0 0.0 0.0 0.0
8 0.07197 -inf -inf 0.0 0.0 0.0 0.0 7.094697615464992 nan nan 5.785867385666942e-05 0.30362970756043267 nan 8.163920430868496 1.243744505909016 0.0 315.0 0.0 0.0 0.16756663868917118 0.36071175911167275 0.0 0.0 3.3766937042652526e-07 3.700033594401374e-05 0.9645116876208528 0.06473759135375068 -inf -inf -inf -inf -inf 0.3325159522183013 12.894678338196469 22.299378316302974 5.541419982910156 0.0 0.33986159141253436 0.0 3.572505790661134e-05 0.0 7.629625114568316e+38 0.0 0.0 0.0 0.32349817942455306 3.565328712747438e-05 7.593190366035682e+38 23.578956200883624 0.0 0.0 0.08262308240307893 0.646403808698169 1.7874511193881046 0.0 0.0 1.6979467045235462e-07 4.572860246118863e-05 0.0 6.240786857182785e+38 0.0 7.094697609190124 -inf 10.236799828449053 24.43865066630262 4.974064118334273e+52 2.4835664195551373e+53 3.6928938010388253e+37 9.631019693423514e+36 2.7297918182856127e+37 6.237517501225243e+38 6.848950270965874e+37 5.5526224831098584e+38 0.0 0.0 0.0 0.0 0.0
9 0.07355 4.713105501811112 -inf 0.0 0.0 0.0005165418359375 5.165418359375e-05 6.778356984847577 5.438352931897748e-06 nan 7.070601434545005e-05 0.5335954979998644 nan 8.22774757689844 1.261754123451415 0.0 828.0 0.0 0.0 0.06276819387527505 1.415501684291066 0.0 0.0 1.4122675508233974e-07 0.00011703018607637727 1.288465133502541 0.02146840056014384 -inf -inf -inf -inf -inf 0.3435600096674508 12.596193065941536 23.253371637067584 7.921880722045898 0.0 1.3124904965451298 0.0 0.00011066472265118758 0.0 2.1137670755675845e+39 0.0 0.0 0.0 1.1975830770516276 0.00010740230468583098 2.0831585406124647e+39 23.803975160035854 0.0 0.0 0.0258141440091234 0.41077106135829256 1.8051288722226595 0.0 0.0 1.4057597705917904e-07 3.252464946205638e-05 0.0 3.916602904191086e+38 0.0 6.778357008834091 -inf 15.831692392035718 26.53265796097617 2.0882476326738624e+52 1.4379556974848322e+53 5.994015014099436e+36 2.7883291498156605e+36 3.205685813502457e+36 3.922720237445019e+38 3.810501571487888e+37 3.541670073072973e+38 0.0 0.0 0.0 0.0 0.0
10 0.07513 -inf -inf 0.0 0.0 0.0 0.0 6.189804774695906 nan nan 4.5902017085454405e-05 0.9086824936870277 nan 8.280011875102016 1.2778083129318485 0.0 543.0 0.0 0.0 0.008649447677036471 0.4197028245110348 0.0 0.0 9.057923849790227e-08 2.58440948535338e-05 1.254579519738799 0.053631291842145816 -inf -inf -inf -inf -inf 0.3547234436943497 12.31026221216558 23.98698320561895 8.113067626953125 0.0 0.3576933294119986 0.0 2.3032847716985088e-05 0.0 2.2462313571122913e+38 0.0 0.0 0.0 0.1910980172928725 1.546107961130937e-05 1.7627436452669684e+38 24.159639800069233 0.0 0.0 0.17213334637150224 0.10464057343558521 2.1042126809784536 0.0 0.0 2.1714077833714994e-06 5.428868370917325e-06 0.0 4.117382165464762e+37 0.0 6.189804786339002 -inf 13.94880305618874 27.499626166601633 3.479415531986611e+51 1.4122908457591711e+52 3.274479019088913e+37 1.2301812398831384e+37 2.0442977745550665e+37 4.117246374303251e+37 5.24628891250121e+36 3.592617505091288e+37 0.0 0.0 0.0 0.0 0.0
11 0.07671 3.7553728814484586 -inf 0.0 0.0 5.69341552734375e-05 5.69341552734375e-06 6.367896123114806 3.2297578140678444e-05 nan 2.4285284376996742e-05 0.7907996485061511 nan 8.349213858275444 1.2959897710244577 0.0 656.0 0.0 0.0 0.067710042700278 0.13357090426027868 0.0 0.0 4.287797530293988e-07 5.004076178340759e-06 1.168588523983792 0.07183202285697025 -inf -inf -inf -inf -inf 0.3660049635504479 12.03611002476861 25.174832904657634 6.413538455963135 0.0 0.09404604117710161 0.0 3.86761139916923e-06 0.0 8.184948272137569e+37 0.0 0.0 0.0 0.022899997731740958 1.1827924749641523e-06 6.488179377212538e+37 24.902996979967746 0.0 0.0 0.10663217939347197 0.053954627480839075 1.866853369515793 0.0 0.0 7.741703380962541e-07 1.8532240143772358e-06 0.0 9.456770409752354e+37 0.0 6.367896151747933 -inf 16.079133828929123 27.060252710622567 7.161314209499161e+51 5.551901656253941e+52 1.640481878478626e+37 8.351567533472593e+36 8.053251144716989e+36 9.456451137018641e+37 4.612422071671896e+36 8.995208829096333e+37 0.0 0.0 0.0 0.0 0.0
