#HM(0) Med_All(1) Err+(2) Err-(3) Med_Cen(4) Err+(5) Err-(6) Med_Cen_SF(7) Err+(8) Err-(9) Med_Cen_Q(10) Err+(11) Err-(12) Med_Sat(13) Err+(14) Err-(15) Med_SF(16) Err+(17) Err-(18) Med_Q(19) Err+(20) Err-(21) True_Med_All(22) Err+(23) Err-(24) True_Cen(25) Err+(26) Err-(27) True_Cen_SF(28) Err+(29) Err-(30) True_Cen_Q(31) Err+(32) Err-(33) True_Sat(34) Err+(35) Err-(36) True_SF(37) Err+(38) Err-(39) True_Q(40) Err+(41) Err-(42) 
9.100000 -4.494999 4.494999 0.000000 -4.494999 4.494999 0.000000 -4.494999 4.494999 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 4.494996 -4.494999 4.494999 0.000000 0.000000 0.000000 0.000000 -4.494999 4.494999 0.000000 -4.494999 4.494999 0.000000 -4.494999 4.494999 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 4.494996 -4.494999 4.494999 0.000000 0.000000 0.000000 0.000000
9.300000 -4.494998 0.000012 0.000002 -4.494998 0.000011 0.000001 -4.494998 0.000011 0.000001 -4.494263 4.494263 0.000690 -4.494992 0.000026 0.000005 -4.494998 0.000013 0.000002 -4.494174 4.494174 0.000779 -4.494998 0.000009 0.000002 -4.494998 0.000008 0.000001 -4.494998 0.000011 0.000002 -4.494128 4.494128 0.000827 -4.494996 0.000020 0.000001 -4.494998 0.000012 0.000002 -4.494178 4.494178 0.000779
9.500000 -4.494905 0.000248 0.000072 -4.494913 0.000234 0.000065 -4.494921 0.000237 0.000063 -4.492802 4.492802 0.001700 -4.494800 0.000502 0.000153 -4.494910 0.000250 0.000071 -4.492906 1.132906 0.001575 -4.494913 0.000188 0.000070 -4.494921 0.000167 0.000064 -4.494929 0.000168 0.000061 -4.492776 4.492776 0.001693 -4.494817 0.000389 0.000146 -4.494919 0.000184 0.000069 -4.492835 4.492835 0.001634
9.700000 -4.461691 0.074112 0.031896 -4.464714 0.068202 0.028960 -4.465140 0.066608 0.028580 -4.067621 0.515715 0.234965 -4.384753 0.136333 0.079605 -4.462125 0.072599 0.031514 -4.068707 0.511458 0.231571 -4.463289 0.049072 0.030662 -4.466269 0.045802 0.027748 -4.466697 0.045728 0.027367 -4.070182 0.516056 0.233225 -4.387415 0.095730 0.088964 -4.463726 0.048825 0.030272 -4.071117 0.526894 0.231697
9.900000 -3.789787 0.103411 0.201411 -3.813251 0.102545 0.204792 -3.814991 0.103267 0.205705 -3.526384 0.301242 0.184669 -3.592118 0.080986 0.180716 -3.791706 0.102924 0.201887 -3.492774 0.289124 0.179642 -3.794260 0.070513 0.257500 -3.817855 0.069741 0.261002 -3.819667 0.070957 0.261865 -3.527290 0.287128 0.192049 -3.595227 0.060650 0.234295 -3.796223 0.072150 0.261065 -3.493212 0.292764 0.188590
10.100000 -3.374289 0.042970 0.170815 -3.401626 0.043973 0.173078 -3.402734 0.044818 0.171419 -3.223874 0.167977 0.132328 -3.208457 0.044869 0.147945 -3.376028 0.043244 0.169588 -3.165777 0.186321 0.132243 -3.379339 0.036633 0.208364 -3.406360 0.034574 0.212059 -3.407479 0.035323 0.212327 -3.232202 0.172403 0.148271 -3.213817 0.039357 0.189278 -3.381106 0.036920 0.210836 -3.173654 0.199376 0.131137
10.300000 -3.136220 0.023013 0.152712 -3.167731 0.021709 0.156777 -3.169031 0.021883 0.155809 -3.038357 0.108789 0.110581 -2.986100 0.021593 0.134480 -3.138760 0.022353 0.153695 -2.964740 0.187570 0.111049 -3.141433 0.018872 0.193938 -3.172791 0.016476 0.200985 -3.174077 0.016750 0.199770 -3.045682 0.112787 0.144055 -2.991092 0.020428 0.179039 -3.143972 0.020244 0.192003 -2.972538 0.185967 0.103469
10.500000 -2.930211 0.000000 0.136239 -2.964034 -0.002026 0.141237 -2.965317 -0.001994 0.141010 -2.881353 0.091830 0.092084 -2.785308 0.001656 0.114646 -2.933907 0.000000 0.135299 -2.775238 0.211621 0.101775 -2.934972 0.007893 0.180740 -2.968697 0.007662 0.188677 -2.969951 0.008138 0.189019 -2.890918 0.089573 0.118542 -2.790143 0.013724 0.158838 -2.938714 0.007076 0.182201 -2.780872 0.221182 0.093885
10.700000 -2.740482 -0.014568 0.110318 -2.782000 -0.017277 0.119456 -2.783359 -0.016172 0.119637 -2.722260 0.084219 0.087360 -2.577202 -0.003634 0.082211 -2.746782 -0.015158 0.110933 -2.580641 0.173739 0.074911 -2.745738 0.001528 0.160136 -2.787058 0.001290 0.173833 -2.788343 0.000441 0.174017 -2.731781 0.084216 0.109045 -2.582150 0.008515 0.135298 -2.751981 0.002294 0.163834 -2.587359 0.170833 0.082765
10.900000 -2.547818 -0.016654 0.087788 -2.600154 -0.022625 0.104838 -2.601339 -0.023399 0.104963 -2.563603 0.062664 0.069959 -2.374736 -0.002317 0.062750 -2.556839 -0.015781 0.092476 -2.413911 0.108239 0.061362 -2.553756 0.004581 0.145532 -2.604921 0.000000 0.165630 -2.606167 -0.000257 0.166548 -2.569822 0.070341 0.105021 -2.379289 0.017961 0.123205 -2.562726 0.001850 0.148489 -2.419843 0.109829 0.072567
